ID,Population,Drainage,Habitat,H2S,Slope,RelativeSlope
Banos1,Banos,Pichu,S,0,0.004116223,0.93150684
Banos2,Banos,Pichu,S,0,0.005004036,1.132420124
Banos3,Banos,Pichu,S,0,0.005004036,1.132420124
Banos4,Banos,Pichu,S,0,0.003551251,0.803652911
Banos1,Banos,Pichu,S,0.1,0.002098467,0.474885924
Banos2,Banos,Pichu,S,0.1,0.004842615,1.095890333
Banos3,Banos,Pichu,S,0.1,0.005811138,1.3150684
Banos4,Banos,Pichu,S,0.1,0.00306699,0.694063991
Banos1,Banos,Pichu,S,0.3,0.003389831,0.767123347
Banos2,Banos,Pichu,S,0.3,0.004196933,0.949771622
Banos3,Banos,Pichu,S,0.3,0.004681195,1.059360769
Banos4,Banos,Pichu,S,0.3,0.00306699,0.694063991
Banos1,Banos,Pichu,S,0.5,0.001937046,0.438356133
Banos2,Banos,Pichu,S,0.5,0.004842615,1.095890333
Banos3,Banos,Pichu,S,0.5,0.005811138,1.3150684
Banos4,Banos,Pichu,S,0.5,0.004600484,1.04109576
Banos1,Banos,Pichu,S,0.7,0.0031477,0.712328773
Banos2,Banos,Pichu,S,0.7,0.00653753,1.479451894
Banos3,Banos,Pichu,S,0.7,0.005084746,1.150684907
Banos4,Banos,Pichu,S,0.7,0.003874092,0.876712267
Banos1,Banos,Pichu,S,0.9,0.002259887,0.511415489
Banos2,Banos,Pichu,S,0.9,0.002905569,0.6575342
Banos3,Banos,Pichu,S,0.9,0.003389831,0.767123347
Banos4,Banos,Pichu,S,0.9,0.003551251,0.803652911
Bonita1,Bonita,Taco,NS,0,0.01125908,0.847380398
Bonita2,Bonita,Taco,NS,0,0.013075061,0.984054682
Bonita3,Bonita,Taco,NS,0,0.015375303,1.157175397
Bonita4,Bonita,Taco,NS,0,0.013438257,1.011389524
Bonita1,Bonita,Taco,NS,0.1,0.005811138,0.43735762
Bonita2,Bonita,Taco,NS,0.1,0.010411622,0.78359905
Bonita3,Bonita,Taco,NS,0.1,0.007021792,0.528473809
Bonita4,Bonita,Taco,NS,0.1,0.00811138,0.610478335
Bonita1,Bonita,Taco,NS,0.3,0.007506053,0.56492024
Bonita2,Bonita,Taco,NS,0.3,0.008232446,0.619589999
Bonita3,Bonita,Taco,NS,0.3,0.008595642,0.646924841
Bonita4,Bonita,Taco,NS,0.3,0.006416465,0.482915714
Bonita1,Bonita,Taco,NS,0.5,0.007263923,0.546697062
Bonita2,Bonita,Taco,NS,0.5,0.010815174,0.813971163
Bonita3,Bonita,Taco,NS,0.5,0.010815174,0.813971163
Bonita4,Bonita,Taco,NS,0.5,0.008353511,0.628701588
Bonita1,Bonita,Taco,NS,0.7,0.006416465,0.482915714
Bonita2,Bonita,Taco,NS,0.7,0.008474576,0.637813177
Bonita3,Bonita,Taco,NS,0.7,0.009806295,0.738040955
Bonita4,Bonita,Taco,NS,0.7,0.006174334,0.464692461
Bonita1,Bonita,Taco,NS,0.9,0.004035513,0.303720607
Bonita2,Bonita,Taco,NS,0.9,0.005569007,0.419134367
Bonita3,Bonita,Taco,NS,0.9,0.008232446,0.619589999
Bonita4,Bonita,Taco,NS,0.9,0.005326877,0.400911189
Lluvia1,Lluvia,Puya,S,0,0.015133172,1.424501424
Lluvia2,Lluvia,Puya,S,0,0.011864407,1.11680913
Lluvia3,Lluvia,Puya,S,0,0.008716707,0.820512813
Lluvia4,Lluvia,Puya,S,0,0.006779661,0.638176633
Lluvia1,Lluvia,Puya,S,0.1,0.012348668,1.162393129
Lluvia2,Lluvia,Puya,S,0.1,0.012348668,1.162393129
Lluvia3,Lluvia,Puya,S,0.1,0.009443099,0.888888858
Lluvia4,Lluvia,Puya,S,0.1,0.007021792,0.660968679
Lluvia1,Lluvia,Puya,S,0.3,0.01051251,0.989553642
Lluvia2,Lluvia,Puya,S,0.3,0.010371267,0.976258289
Lluvia3,Lluvia,Puya,S,0.3,0.007243745,0.681861348
Lluvia4,Lluvia,Puya,S,0.3,0.005871671,0.552706577
Lluvia1,Lluvia,Puya,S,0.5,0.012106538,1.139601177
Lluvia2,Lluvia,Puya,S,0.5,0.00968523,0.911680904
Lluvia3,Lluvia,Puya,S,0.5,0.009443099,0.888888858
Lluvia4,Lluvia,Puya,S,0.5,0.005811138,0.547008542
Lluvia1,Lluvia,Puya,S,0.7,0.009120258,0.858499494
Lluvia2,Lluvia,Puya,S,0.7,0.00877724,0.826210848
Lluvia3,Lluvia,Puya,S,0.7,0.008353511,0.786324791
Lluvia4,Lluvia,Puya,S,0.7,0.005992736,0.564102553
Lluvia1,Lluvia,Puya,S,0.9,0.009927361,0.93447295
Lluvia2,Lluvia,Puya,S,0.9,0.00968523,0.911680904
Lluvia3,Lluvia,Puya,S,0.9,0.006779661,0.638176633
Lluvia4,Lluvia,Puya,S,0.9,0.00472155,0.444444476
PSO1,PSO,Taco,S,0,0.005327,1.178626742
PSO2,PSO,Taco,S,0,0.004116,0.910686629
PSO3,PSO,Taco,S,0,0.004116,0.910686629
PSO1,PSO,Taco,S,0.1,0.003389831,0.750017922
