ID,Pop,Drainage,Habitat ,Group,Tissue,Sex,Mass,H2S,Bin,mitoA,relative mitoA
5,0,1,0,1,0,0,0.93,0,0,0.124831854,0.877071561
9,0,1,0,1,0,0,0.46,0,0,0.163265306,1.147105905
8,0,1,0,1,0,0,0.7,0,0,0.138886884,0.975822534
13,0,1,0,1,0,0,1.99,15.6,1,0.170942061,1.201042967
3,0,1,0,1,0,0,1.55,22.3,2,0.15037594,1.056544914
12,0,1,0,1,0,0,0.57,27.8,2,0.268963867,1.889746496
7,0,1,0,1,0,0,0.91,36.6,2,0.184939092,1.299386438
14,0,1,0,1,0,0,0.86,43.8,2,0.250040174,1.756788181
4,0,1,0,1,0,0,1.12,54.13,3,0.220551378,1.549599202
10,0,1,0,1,0,0,0.55,65,3,0.298273155,2.095674247
6,0,1,0,1,0,0,1.35,72,3,0.27546955,1.935455579
23,1,1,1,2,0,1,0.28,0,0,0.109515167,0.593134335
19,1,1,1,2,0,1,0.36,0,0,0.121050289,0.655608576
20,1,1,1,2,0,0,0.31,0,0,0.323348694,1.751257089
24,1,1,1,2,0,0,0.78,11.6,1,0.13761623,0.745329741
27,1,1,1,2,0,0,0.61,13,1,0.139439508,0.755204618
25,1,1,1,2,0,0,0.34,16.6,1,0.135886548,0.73596178
26,1,1,1,2,0,1,0.24,19.8,1,0.161271161,0.873444889
22,1,1,1,2,0,0,0.34,20.8,2,0.271148459,1.468540526
16,1,1,1,2,0,0,0.49,36.6,2,0.141422423,0.765944089
15,1,1,1,2,0,0,0.6,49.8,3,0.156587788,0.848079732
28,1,1,1,2,0,0,0.7,55.4,3,0.153874883,0.833386634
17,1,1,1,2,0,1,0.49,65.6,3,0.169265033,0.916739713
18,1,1,1,2,0,1,0.44,72.6,3,0.167799062,0.908800012
30,2,2,0,3,0,0,0.53,0,0,0.097592295,0.722416381
36,2,2,0,3,0,0,0.3,0,0,0.178487395,1.321233587
37,2,2,0,3,0,0,0.39,0,0,0.129194737,0.956350031
41,2,2,0,3,0,1,0.41,4.8,1,0.261851016,1.938323752
40,2,2,0,3,0,0,0.39,5.8,1,0.343095611,2.539728057
43,2,2,0,3,0,0,0.45,7.2,1,0.419534345,3.105557497
42,2,2,0,3,0,0,0.44,11.2,1,0.17616201,1.304020177
44,2,2,0,3,0,1,0.33,15,1,0.244897959,1.812830586
38,2,2,0,3,0,0,0.36,22,2,0.155662731,1.152276487
35,2,2,0,3,0,0,0.3,36,2,0.171957672,1.272898021
39,2,2,0,3,0,0,0.41,37,2,0.157782516,1.167967966
29,2,2,0,3,0,1,1.17,38,2,0.342766941,2.537295113
34,2,2,0,3,0,0,0.42,58.8,3,0.349152267,2.584561796
33,2,2,0,3,0,0,0.54,72.4,3,0.163648558,1.211390705
32,2,2,0,3,0,0,0.53,73,3,0.198347107,1.468242952
31,2,2,0,3,0,0,0.32,76.8,3,0.195385766,1.446321946
51,3,2,1,4,0,0,0.42,0,0,0.244363796,1.364252131
52,3,2,1,4,0,0,0.46,0,0,0.168067227,0.938298047
60,3,2,1,4,0,0,0.37,0,0,0.161273349,0.900368687
59,3,2,1,4,0,0,0.34,0,0,0.142772562,0.797081135
58,3,2,1,4,0,0,0.43,7.4,1,0.029051621,0.162191519
56,3,2,1,4,0,0,0.32,10.8,1,0.013735125,0.076681464
57,3,2,1,4,0,0,0.3,17.4,1,0.021753247,0.121445622
49,3,2,1,4,0,0,0.49,26.4,2,0.25607064,1.429609959
50,3,2,1,4,0,0,0.33,27.4,2,0.249468283,1.392749836
48,3,2,1,4,0,0,0.46,46.8,3,0.173420941,0.968187155
45,3,2,1,4,0,0,0.53,59,3,0.193325658,1.079312669
54,3,2,1,4,0,0,0.41,77,3,0.014134276,0.078909873
46,3,2,1,4,0,0,0.54,87.4,3,0.314174418,1.753995994
47,3,2,1,4,0,0,0.68,87.8,3,0.245720685,1.37182747
9,0,1,0,1,1,0,0.46,0,0,0.186741363,0.789723574
8,0,1,0,1,1,0,0.7,0,0,0.286187062,1.210276426
13,0,1,0,1,1,0,1.99,15.6,1,0.476145232,2.013603779
12,0,1,0,4,1,0,0.57,27.8,2,0.2125,0.89865607
7,0,1,0,4,1,0,0.91,36.6,2,0.269647773,1.140332273
14,0,1,0,4,1,0,0.86,43.8,2,0.174019483,0.735923128
4,0,1,0,1,1,0,1.12,54.13,3,0.374517375,1.583822647
10,0,1,0,1,1,0,0.55,65,3,0.862068966,3.645663574
1,0,1,0,1,1,0,0.87,66.27,3,0.267226891,1.130094437
6,0,1,0,1,1,0,1.35,72,3,0.616019818,2.605129172
23,1,1,1,2,1,1,0.28,0,0,0.117847866,0.203234232
19,1,1,1,2,1,1,0.36,0,0,1.480582524,2.553334756
20,1,1,1,2,1,0,0.31,0,0,0.141156463,0.243431013
24,1,1,1,2,1,0,0.78,11.6,1,0.210771244,0.363485003
27,1,1,1,2,1,0,0.61,13,1,0.255370569,0.440398653
21,1,1,1,2,1,0,0.48,15.4,1,0.542756792,0.936009819
25,1,1,1,2,1,0,0.34,16.6,1,0.241950932,0.417255853
26,1,1,1,2,1,1,0.24,19.8,1,0.071246819,0.122868517
22,1,1,1,2,1,0,0.34,20.8,2,0.36987013,0.637858574
16,1,1,1,2,1,0,0.49,36.6,2,0.264516129,0.456170605
15,1,1,1,2,1,0,0.6,49.8,3,0.25839096,0.445607461
28,1,1,1,2,1,0,0.7,55.4,3,0.201680672,0.34780788
17,1,1,1,2,1,1,0.49,65.6,3,0.592616372,1.021995029
18,1,1,1,2,1,1,0.44,72.6,3,0.866043614,1.493533271
30,2,2,0,3,1,0,0.53,0,0,0.283279221,1.381117817
36,2,2,0,3,1,0,0.3,0,0,0.228019133,1.111699213
37,2,2,0,3,1,0,0.39,0,0,0.104027618,0.50718297
40,2,2,0,3,1,0,0.39,5.8,1,0.167607469,0.817164283
43,2,2,0,3,1,0,0.45,7.2,1,0.514935633,2.510550455
42,2,2,0,3,1,0,0.44,11.2,1,0.540891027,2.63709506
38,2,2,0,3,1,0,0.36,22,2,0.383006824,1.867336216
35,2,2,0,3,1,0,0.3,36,2,0.623376623,3.039250664
39,2,2,0,3,1,0,0.41,37,2,0.225882353,1.101281418
29,2,2,0,3,1,1,1.17,38,2,0.60541395,2.951674288
34,2,2,0,3,1,0,0.42,58.8,3,0.354127342,1.726535323
33,2,2,0,3,1,0,0.54,72.4,3,0.569327731,2.775737204
32,2,2,0,3,1,0,0.53,73,3,0.065012831,0.316967757
31,2,2,0,3,1,0,0.32,76.8,3,0.29866797,1.456145118
