Drainage,Population ,ID,Concentration,Biological replicate number,Basal,ATPlinked,Protonleak,Spare,Maximal,nonMT
Tacotalpa,Non-Sulfidic,TacNS,0,14,0.563769681,1,0.424086417,1,1,1
Tacotalpa,Non-Sulfidic,TacNS,5,14,0.552456064,0.906616666,0.628056605,0.917536785,0.922588806,0.872759692
Tacotalpa,Non-Sulfidic,TacNS,15,14,0.427655802,0.90293106,,0.906253756,0.894295699,0.678661731
Tacotalpa,Non-Sulfidic,TacNS,30,14,1,0.463888496,1,0.885841594,0.957735543,0.667300633
Tacotalpa,Non-Sulfidic,TacNS,50,14,0.195549667,0,0,0.022928314,0.04915643,0.607690262
Tacotalpa,Non-Sulfidic,TacNS,60,14,0.11842271,0,0,0,0.015179006,
Tacotalpa,Non-Sulfidic,TacNS,80,14,0,0,0,0.018216346,0.005564883,0.319879729
Tacotalpa,Non-Sulfidic,TacNS,90,14,0,0,0,0.020613019,0.003935156,0.335458223
Tacotalpa,Non-Sulfidic,TacNS,0,15,0.331664709,1,0.281884071,1,1,0.783590757
Tacotalpa,Non-Sulfidic,TacNS,5,15,0.418377203,0.133790794,0.648869478,0.832787468,0.84434588,0.339644886
Tacotalpa,Non-Sulfidic,TacNS,15,15,0.330790739,0.211115034,0.122424495,0.513818214,0.52685663,0.474568567
Tacotalpa,Non-Sulfidic,TacNS,30,15,1,0.304363953,1,0.670742067,0.733955459,1
Tacotalpa,Non-Sulfidic,TacNS,50,15,0.063841112,0,0.000234706,0,0.003574504,0.594349378
Tacotalpa,Non-Sulfidic,TacNS,60,15,0,0,0,0.003826808,0.002321225,0.59291449
Tacotalpa,Non-Sulfidic,TacNS,80,15,0.004467479,0,0,0.00163325,0.001952414,0.588800656
Tacotalpa,Non-Sulfidic,TacNS,90,15,0,0,0,0.004201024,0.001865247,0.673393972
Tacotalpa,Non-Sulfidic,TacNS,0,16,0.830087553,1,0.938880529,1,1,0.950859632
Tacotalpa,Non-Sulfidic,TacNS,5,16,0.642331504,0.835332218,0.888602988,0.946481929,0.933346552,0.913732499
Tacotalpa,Non-Sulfidic,TacNS,15,16,0.826712665,0.850430511,0.921274328,0.883798341,0.892328755,1
Tacotalpa,Non-Sulfidic,TacNS,30,16,0.935974579,0.756176292,0.868821132,0.786732858,0.812660381,0.651989419
Tacotalpa,Non-Sulfidic,TacNS,50,16,1,0.064895797,1,0.176311719,0.25454275,0.50542128
Tacotalpa,Non-Sulfidic,TacNS,60,16,0,0.027031205,0,0.087973509,0.079547835,0.397413266
Tacotalpa,Non-Sulfidic,TacNS,80,16,0.769475134,0,0.634407255,0.158495264,0.21695554,0.509058167
Tacotalpa,Non-Sulfidic,TacNS,90,16,0.612306784,0,0.75449018,0.044221975,0.096971811,0.646715537
Tacotalpa,Non-Sulfidic,TacNS,0,17,1,1,0.924146294,0.887359466,0.931486135,1
Tacotalpa,Non-Sulfidic,TacNS,5,17,0.712788733,0.780257351,0.763116488,1,1,0.670430313
Tacotalpa,Non-Sulfidic,TacNS,15,17,0.860961947,0.943416688,0.63232814,0.870075979,0.89898723,0.763183672
Tacotalpa,Non-Sulfidic,TacNS,30,17,0.960064341,0.588119822,1,0.873298746,0.913833646,0.355205603
Tacotalpa,Non-Sulfidic,TacNS,50,17,0.733868316,0,0.427309943,0.152934048,0.227962396,0.402910022
Tacotalpa,Non-Sulfidic,TacNS,60,17,0.346883114,0,0.192033059,0.046762374,0.084411281,0.362566735
Tacotalpa,Non-Sulfidic,TacNS,80,17,0.274502338,0,0,0,0.026009408,0.436903199
Tacotalpa,Non-Sulfidic,TacNS,90,17,0.334876309,0,0,0,0.021730746,0.444673424
Tacotalpa,Non-Sulfidic,TacNS,0,18,0.888637728,1,1,0.993139152,1,1
Tacotalpa,Non-Sulfidic,TacNS,5,18,1,0.599697531,0.93037756,0.951243725,0.977598084,0.394356622
Tacotalpa,Non-Sulfidic,TacNS,15,18,0.754658744,0.759439413,0.635435696,1,0.988285764,0.646157266
Tacotalpa,Non-Sulfidic,TacNS,30,18,0.873719427,0.160167941,0.088710532,0.61000231,0.657796639,0.609440479
Tacotalpa,Non-Sulfidic,TacNS,50,18,0.029862236,0.006137117,0,0,0,
Tacotalpa,Non-Sulfidic,TacNS,60,18,0.109310541,0,0,0.014476271,0.027382747,0.325090006
Tacotalpa,Non-Sulfidic,TacNS,80,18,0.025087207,0.003249975,0,0.005300917,0.008041382,0.459203601
Tacotalpa,Non-Sulfidic,TacNS,90,18,0.072732102,0,0,0.006566436,0.015497428,0.298666575
Tacotalpa,Sulfidic,TacS,0,19,,1,,0.44682055,1,0.819498751
Tacotalpa,Sulfidic,TacS,5,19,,0.745889823,,0.358332126,0.845264809,1
Tacotalpa,Sulfidic,TacS,15,19,,0.423614495,,0.279519592,0.671354192,0.843147895
Tacotalpa,Sulfidic,TacS,30,19,,0.098485252,,1,0.934761974,0.731591501
Tacotalpa,Sulfidic,TacS,50,19,,0.07727503,,0.321985085,0.835751621,0.512760805
Tacotalpa,Sulfidic,TacS,60,19,,0.147887198,,0,0.262454178,
Tacotalpa,Sulfidic,TacS,80,19,,0.123762889,,0.268635317,0.549190751,0.601820766
Tacotalpa,Sulfidic,TacS,90,19,,0,,0.574520687,0.518771697,0.715829272
Tacotalpa,Sulfidic,TacS,0,20,0.992552485,1,0.752741086,0.940096711,0.947781425,1
Tacotalpa,Sulfidic,TacS,5,20,1,0.93078954,1,1,1,0.27705031
Tacotalpa,Sulfidic,TacS,15,20,0.964398466,0.9258004,0.839116691,0.855812483,0.871720211,0.97935593
Tacotalpa,Sulfidic,TacS,30,20,0.948961233,0.805342744,0.886760966,0.850122653,0.864602397,0.481360817
Tacotalpa,Sulfidic,TacS,50,20,0.920472367,,0.736868687,0.728198308,0.756366247,0.704824259
Tacotalpa,Sulfidic,TacS,60,20,,,,,,0
Tacotalpa,Sulfidic,TacS,80,20,0.717108539,0.233095258,0.648838816,0.535711234,0.56228574,
Tacotalpa,Sulfidic,TacS,90,20,,0.588546177,0.699349262,0.665626202,0.703622812,0.53766368
Tacotalpa,Sulfidic,TacS,0,21,0.908003505,1,0.920897883,1,1,1
Tacotalpa,Sulfidic,TacS,5,21,1,0.883723504,1,0.797394149,0.820611488,0.708527623
Tacotalpa,Sulfidic,TacS,15,21,0.912419136,0.746293766,0.819004041,0.921625038,0.92797091,0.838013659
Tacotalpa,Sulfidic,TacS,30,21,0.888197993,0.113543979,0.552199783,0.714886207,0.73495972,0.789030881
Tacotalpa,Sulfidic,TacS,50,21,0.641125437,0,0.420674598,0.639002141,0.644116198,0.38939439
Tacotalpa,Sulfidic,TacS,60,21,0.505444179,0,0.094775606,0.124195821,0.157165474,0.379919305
Tacotalpa,Sulfidic,TacS,80,21,0,0,0,0.302555875,0.271252608,
Tacotalpa,Sulfidic,TacS,90,21,0.063329642,0.223067539,0.089407049,0.381562182,0.357790034,0.441881952
Tacotalpa,Sulfidic,TacS,0,22,0.945596622,0.893377659,1,1,1,1
Tacotalpa,Sulfidic,TacS,5,22,0.816782757,0.571453485,0.846196946,0.888875306,0.887367258,0.758385691
Tacotalpa,Sulfidic,TacS,15,22,1,1,0.775655024,0.887309456,0.897536677,0.733140835
Tacotalpa,Sulfidic,TacS,30,22,0.16258195,0.234781423,0,0.804003026,0.766027809,0.494459241
Tacotalpa,Sulfidic,TacS,50,22,0.152477515,,0.062263519,0.944668887,0.897600316,0.380558924
Tacotalpa,Sulfidic,TacS,60,22,0.219776347,0.218802929,0.060778311,0.286114643,0.282888666,0.352884078
Tacotalpa,Sulfidic,TacS,80,22,0.108425095,0.237211637,0,0.25523175,0.246786251,0.433628407
Tacotalpa,Sulfidic,TacS,90,22,0.132785308,0.247515168,0.033898133,0.235959181,0.230219388,0.412225504
Puyacatengo,Non-Sulfidic,PuyNS,0,23,1,1,1,1,1,0.573197545
Puyacatengo,Non-Sulfidic,PuyNS,5,23,0.843590187,0.821563646,0.84139436,0.481442341,0.516280108,0.597597598
Puyacatengo,Non-Sulfidic,PuyNS,15,23,0.479801295,0,0.198607042,0.029436988,0.072755116,0.575075075
Puyacatengo,Non-Sulfidic,PuyNS,30,23,0.258527639,0.018973351,0.036723566,0.011195097,0.034971488,0.660660661
Puyacatengo,Non-Sulfidic,PuyNS,50,23,0.257777559,0.027801229,0.054710619,0.006541553,0.030693189,0.773273273
Puyacatengo,Non-Sulfidic,PuyNS,60,23,0.2385255,0.025209961,0.067451448,0,0.020910787,1
Puyacatengo,Non-Sulfidic,PuyNS,80,23,0.33322855,0.02660006,0.095056697,0,0.016479089,0.773136335
Puyacatengo,Non-Sulfidic,PuyNS,90,23,0.161267241,0.030963454,0.051462957,0.023852736,0.037062566,0.801801802
Puyacatengo,Non-Sulfidic,PuyNS,0,24,1,1,1,1,1,0.594826512
Puyacatengo,Non-Sulfidic,PuyNS,5,24,0.675772968,0.456891658,0.622192038,0.270979499,0.299297365,0.320882852
Puyacatengo,Non-Sulfidic,PuyNS,15,24,0.490352461,0.000693486,0.258318813,0.02240163,0.055156885,0.26655348
Puyacatengo,Non-Sulfidic,PuyNS,30,24,0.321067367,0.00231162,0.184608876,0.006068394,0.028123698,0.448217317
Puyacatengo,Non-Sulfidic,PuyNS,50,24,0.324896109,0.010787559,0.185276942,0.005574694,0.027913248,0.539898132
Puyacatengo,Non-Sulfidic,PuyNS,60,24,0.324896109,0.01437057,0.205318919,0.001625095,0.024239949,0.446519525
Puyacatengo,Non-Sulfidic,PuyNS,80,24,0.499377353,0.014987002,0.227365093,0,0.025368723,0.288624788
Puyacatengo,Non-Sulfidic,PuyNS,90,24,0.140296047,0.014601732,0.134281245,0.012239642,0.021197998,1
Puyacatengo,Non-Sulfidic,PuyNS,0,25,1,1,1,1,1,0.956151816
Puyacatengo,Non-Sulfidic,PuyNS,5,25,0.766931261,0.775995788,0.706794213,0.714608814,0.726078566,0.98317757
Puyacatengo,Non-Sulfidic,PuyNS,15,25,0.313150529,0.026506409,0.14458118,0.058055042,0.114256018,0.745794393
Puyacatengo,Non-Sulfidic,PuyNS,30,25,0.17225893,0.030193152,0.054694933,0.033459203,0.064038655,0.796261682
Puyacatengo,Non-Sulfidic,PuyNS,50,25,0.204933234,0.04671993,0.021199586,0.01558475,0.057358364,1
Puyacatengo,Non-Sulfidic,PuyNS,60,25,0.320469573,0.058479368,0.172564634,0.010266731,0.078551012,0.020560748
Puyacatengo,Non-Sulfidic,PuyNS,80,25,0.245187977,0.043605268,0.059782834,0.00376693,0.056955243,0.990654206
Puyacatengo,Non-Sulfidic,PuyNS,90,25,0,0.041761897,0.047911065,0.078440781,0.05620659,0.955140187
Puyacatengo,Non-Sulfidic,PuyNS,0,26,1,1,0.990342946,1,1,0.650689082
Puyacatengo,Non-Sulfidic,PuyNS,5,26,0.693994648,0.804899251,1,0.839561497,0.820364205,1
Puyacatengo,Non-Sulfidic,PuyNS,15,26,0.577636264,0.103837227,0,0.084313887,0.149373025,0.452453988
Puyacatengo,Non-Sulfidic,PuyNS,30,26,0.357386465,0.058428533,0.0321065,0.041034629,0.082694076,0.418711656
Puyacatengo,Non-Sulfidic,PuyNS,50,26,0.503296185,0.053124154,0,0.023147739,0.086469505,0.282208589
Puyacatengo,Non-Sulfidic,PuyNS,60,26,0.593335411,0.089210002,0.335160532,0.008978517,0.085982353,0
Puyacatengo,Non-Sulfidic,PuyNS,80,26,0.630274581,0.079887155,0.209866875,0,0.068871134,0.11196319
Puyacatengo,Non-Sulfidic,PuyNS,90,26,0,0,0.045418951,0.079964918,0.05669233,0.457055215
Puyacatengo,Sulfidic,PuyS,0,27,0.958564029,1,0.902256975,0.962860543,1,0.651567944
Puyacatengo,Sulfidic,PuyS,5,27,1,0.942821678,1,0.884031084,0.938553264,0.390243902
Puyacatengo,Sulfidic,PuyS,15,27,0.385068762,0.051605747,0.791185356,1,0.934598771,0.505226481
Puyacatengo,Sulfidic,PuyS,30,27,0.290409002,0.041252905,0.289674782,0.385396248,0.384376711,0.364111498
Puyacatengo,Sulfidic,PuyS,50,27,0.215395606,0.030900063,0.175048872,0.077429292,0.103942325,0.540069686
Puyacatengo,Sulfidic,PuyS,60,27,0.370601893,0.012201563,0.166340857,0.008611033,0.070602908,0.777003484
Puyacatengo,Sulfidic,PuyS,80,27,0.385247366,0.008979506,0.10609561,0,0.028472349,0.851916376
Puyacatengo,Sulfidic,PuyS,90,27,0.110019646,0.011409254,0.121201351,0.051946234,0.063910689,1
Puyacatengo,Sulfidic,PuyS,0,28,1,1,0.991392708,0.825206945,0.959493131,0.943765281
Puyacatengo,Sulfidic,PuyS,5,28,0.932201603,0.933486417,1,0.3083653,0.445395233,0.701711491
Puyacatengo,Sulfidic,PuyS,15,28,0.165120202,0.060597805,0.644351464,1,1,1
Puyacatengo,Sulfidic,PuyS,30,28,,0.060597805,0.258696952,0.245272226,0.298006623,0.931540342
Puyacatengo,Sulfidic,PuyS,50,28,0.115879376,0.016501907,0.14739988,0.047799314,0.064604439,0.858190709
Puyacatengo,Sulfidic,PuyS,60,28,0.239245044,0.011967775,0.287029289,0.021165624,0.057817776,0.650366748
Puyacatengo,Sulfidic,PuyS,80,28,0.456452973,0.014692146,0.287507472,0,0.049981968,0.743276284
Puyacatengo,Sulfidic,PuyS,90,28,0.307043442,0.042675333,0.153138075,0.024732485,0.071850103,0.718826406
Puyacatengo,Sulfidic,PuyS,0,29,1,1,0.975673981,0.816854611,0.922980367,0.675324675
Puyacatengo,Sulfidic,PuyS,5,29,0.93637621,0.911422339,1,0.581218956,0.688123592,0.772727273
Puyacatengo,Sulfidic,PuyS,15,29,0.293568465,0.043646668,0.870094044,1,1,0.731601732
Puyacatengo,Sulfidic,PuyS,30,29,0.233978792,0.075285915,0.147962382,0.430930326,0.445928548,0.608225108
Puyacatengo,Sulfidic,PuyS,50,29,,0.034778709,0.197115987,0.06098134,0.087286772,1
Puyacatengo,Sulfidic,PuyS,60,29,0.395458737,0.00760402,0.210783699,0,0.055181847,0.311688312
Puyacatengo,Sulfidic,PuyS,80,29,0.482249885,0.01190549,0.191598746,0,0.028934664,0.785714286
Puyacatengo,Sulfidic,PuyS,90,29,0.154103273,0.013149043,0.17492163,0.045643711,0.065288059,0.794372294
Puyacatengo,Sulfidic,PuyS,0,30,1,1,1,1,1,1
Puyacatengo,Sulfidic,PuyS,5,30,0.848755877,0.711612043,,0.904437545,0.897827507,0.901176471
Puyacatengo,Sulfidic,PuyS,15,30,0.210296984,0.037691096,0.766884786,0.994856587,0.901720571,0.854117647
Puyacatengo,Sulfidic,PuyS,30,30,0.160073386,0.06937447,0.160084132,0.212362726,0.206155396,0.750588235
Puyacatengo,Sulfidic,PuyS,50,30,0.136566907,,0.109371348,0.046337056,0.05704835,0.621176471
Puyacatengo,Sulfidic,PuyS,60,30,0.221534228,0.006682941,0.106683805,0.007908191,0.033267995,0.510588235
Puyacatengo,Sulfidic,PuyS,80,30,0.224859534,0.008431586,0.124678663,0.000864958,0.027455625,0.416470588
Puyacatengo,Sulfidic,PuyS,90,30,0.177731911,0.029605776,0.098504323,0.006131937,0.026502777,0.785882353
Pichucalco,Non-Sulfidic,PichNS,0,31,1,1,1,1,1,0.486596276
Pichucalco,Non-Sulfidic,PichNS,5,31,0.846254928,0.737853667,0.760955194,0.891867158,0.887329139,0.707186587
Pichucalco,Non-Sulfidic,PichNS,15,31,0.252080596,0.001952212,0.088133924,0.025768851,0.048188327,0.927776899
Pichucalco,Non-Sulfidic,PichNS,30,31,0.261279019,0.009568589,0.02314131,0.003781037,0.029290519,0.834782944
Pichucalco,Non-Sulfidic,PichNS,50,31,0.211344722,0.013170557,0.023879862,0,0.015014103,0.819644393
Pichucalco,Non-Sulfidic,PichNS,60,31,0.108045622,0.008989304,0.024960004,0.002172633,0.01266111,0.972052543
Pichucalco,Non-Sulfidic,PichNS,80,31,0.235015987,0.020162764,0,0,0.004188983,
Pichucalco,Non-Sulfidic,PichNS,90,31,0.191942461,0.016417318,0,0,0,1
Pichucalco,Non-Sulfidic,PichNS,0,32,1,1,1,1,1,0.800829876
Pichucalco,Non-Sulfidic,PichNS,5,32,0.868680512,0.900911068,0.797306397,0.97097804,0.960381655,0.636929461
Pichucalco,Non-Sulfidic,PichNS,15,32,0.262219425,0,0.133333333,0.013084067,0.038837688,1
Pichucalco,Non-Sulfidic,PichNS,30,32,0.201384519,0.003523162,0.05701459,0,0.018844194,0.852697095
Pichucalco,Non-Sulfidic,PichNS,50,32,0.259282568,0.002312075,0.085521886,0,0.014767429,0.715767635
Pichucalco,Non-Sulfidic,PichNS,60,32,0.210781366,0.004500432,0.073592995,0,0.019205061,0.586844774
Pichucalco,Non-Sulfidic,PichNS,80,32,0.205256632,0.014930377,0.077162145,0,0.019952495,0.64945377
Pichucalco,Non-Sulfidic,PichNS,90,32,0.200068032,0.019037668,0.070666768,0,0.004037506,0.631601965
Pichucalco,Non-Sulfidic,PichNS,0,33,1,1,1,1,1,0.564159292
Pichucalco,Non-Sulfidic,PichNS,5,33,0.731261426,0.860156479,0.752901024,0.783895659,0.779058779,
Pichucalco,Non-Sulfidic,PichNS,15,33,0.207952468,0,0.114675768,0.019910737,0.037191037,
Pichucalco,Non-Sulfidic,PichNS,30,33,0.203610603,0,0.117861206,0.002497514,0.020979021,0.896017699
Pichucalco,Non-Sulfidic,PichNS,50,33,0.237431444,0.003204358,0.030716724,0,0.007161007,1
Pichucalco,Non-Sulfidic,PichNS,60,33,0.204731905,0.011261111,0,0,0.017116674,0.876864303
Pichucalco,Non-Sulfidic,PichNS,80,33,0.203501802,0.011010135,0.103068029,0,0.012354971,0.505535033
Pichucalco,Non-Sulfidic,PichNS,90,33,0.252569128,0.020961402,0.037591708,0,0.005293986,0.905838759
Pichucalco,Sulfidic,PichS,0,34,1,1,1,1,1,0.811390769
Pichucalco,Sulfidic,PichS,5,34,0.905127133,0.979764018,0.955184616,0.637475107,0.68872715,0.868735084
Pichucalco,Sulfidic,PichS,15,34,0.974702162,0.963170536,0.896655761,0.972748654,0.973153928,1
Pichucalco,Sulfidic,PichS,30,34,0.78862562,0.693214545,0.890519672,0.677802093,0.699023424,0.353221957
Pichucalco,Sulfidic,PichS,50,34,0.634648097,0.700949853,0.526602357,0.725345488,0.708009263,0.424821002
Pichucalco,Sulfidic,PichS,60,34,0.593322709,0.57808246,0.690562281,0.631386575,0.624097817,0.484944613
Pichucalco,Sulfidic,PichS,80,34,0.363607999,0.004362849,0.23686218,0.5092689,0.481376645,0.878508434
Pichucalco,Sulfidic,PichS,90,34,0.255932735,0,,0.40383761,0.375515661,0.768166274
Pichucalco,Sulfidic,PichS,0,35,0.884818488,1,1,1,1,1
Pichucalco,Sulfidic,PichS,5,35,0.881825213,0.971971798,0.99902985,0.647399629,0.694187339,0.712335786
Pichucalco,Sulfidic,PichS,15,35,1,0.860219055,0.86431421,0.803367281,0.847176026,0.700658151
Pichucalco,Sulfidic,PichS,30,35,0.811446249,0.799663229,0.817964026,0.519017724,0.572349135,0.506809396
Pichucalco,Sulfidic,PichS,50,35,0.68228925,0.690804358,0.566872746,0.381927377,0.434069097,0
Pichucalco,Sulfidic,PichS,60,35,0.553773728,0.417472491,0.555856534,0.348273075,0.385464005,0.407313633
Pichucalco,Sulfidic,PichS,80,35,0.392898558,0.006914405,0.234659657,0.366487461,0.37687842,0.754974788
Pichucalco,Sulfidic,PichS,90,35,0.223066933,,0.234286942,0.157224591,0.169936513,0.792348614
